customer_id,event_time,event_type,device_id,ip_address,location,action,from_account,to_account
C000887,2026-03-21 19:43:21,register,D339A11312DE6,120.204.192,昆明市,注册账户，设备年龄124天,,
C000887,2026-03-22 23:43:21,login,D339A11312DE6,120.204.192,昆明市,登录（第1次）,,
C000887,2026-03-23 00:43:21,login,D339A11312DE6,120.204.192,昆明市,登录（第2次）,,
C000887,2026-03-23 01:43:21,browse,D339A11312DE6,120.204.192,昆明市,浏览贷款产品页/额度试算,,
C000887,2026-03-23 03:43:21,browse,D339A11312DE6,120.204.192,昆明市,浏览贷款产品页/额度试算,,
C000887,2026-03-23 05:43:21,browse,D339A11312DE6,120.204.192,昆明市,浏览贷款产品页/额度试算,,
C000887,2026-03-23 08:43:21,browse,D339A11312DE6,120.204.192,昆明市,浏览贷款产品页/额度试算,,
C000887,2026-03-23 12:43:21,browse,D339A11312DE6,120.204.192,昆明市,浏览贷款产品页/额度试算,,
C000887,2026-03-23 17:43:21,browse,D339A11312DE6,120.204.192,昆明市,浏览贷款产品页/额度试算,,
C000887,2026-03-23 19:43:21,browse,D339A11312DE6,120.204.192,昆明市,浏览贷款产品页/额度试算,,
C000887,2026-03-26 19:43:21,profile_fill,D339A11312DE6,120.204.192,昆明市,填写申请资料，耗时899秒,,
C000887,2026-03-26 19:44:21,apply,D339A11312DE6,120.204.192,昆明市,提交贷款申请 loan_amount=4428,,
C000887,2026-03-26 21:43:21,approve,D339A11312DE6,120.204.192,昆明市,审批通过,,
C000887,2026-03-28 19:43:21,disburse,D339A11312DE6,120.204.192,昆明市,放款 4428 元,,
C000887,2026-04-22 19:43:21,cashout,D339A11312DE6,120.204.192,昆明市,消费/取现 1055 元,,
C000887,2026-04-27 19:43:21,repay,D339A11312DE6,120.204.192,昆明市,第1期还款 369 元,,
C000887,2026-05-27 19:43:21,repay,D339A11312DE6,120.204.192,昆明市,第2期还款 369 元,,
C000887,2026-06-26 19:43:21,repay,D339A11312DE6,120.204.192,昆明市,第3期还款 369 元,,
C000887,2026-07-26 19:43:21,repay,D339A11312DE6,120.204.192,昆明市,第4期还款 369 元,,
C000887,2026-08-25 19:43:21,repay,D339A11312DE6,120.204.192,昆明市,第5期还款 369 元,,
C000887,2026-09-24 19:43:21,repay,D339A11312DE6,120.204.192,昆明市,第6期还款 369 元,,
C003393,2025-08-29 08:04:21,register,D7134608102F9,39.144.188,广州市,注册账户，设备年龄284天,,
C003393,2025-09-01 09:04:21,login,D7134608102F9,39.144.188,广州市,登录（第1次）,,
C003393,2025-09-01 12:04:21,browse,D7134608102F9,39.144.188,广州市,浏览贷款产品页/额度试算,,
C003393,2025-09-01 15:04:21,browse,D7134608102F9,39.144.188,广州市,浏览贷款产品页/额度试算,,
C003393,2025-09-01 17:04:21,browse,D7134608102F9,39.144.188,广州市,浏览贷款产品页/额度试算,,
C003393,2025-09-01 21:04:21,browse,D7134608102F9,39.144.188,广州市,浏览贷款产品页/额度试算,,
C003393,2025-09-01 23:04:21,browse,D7134608102F9,39.144.188,广州市,浏览贷款产品页/额度试算,,
C003393,2025-09-02 01:04:21,browse,D7134608102F9,39.144.188,广州市,浏览贷款产品页/额度试算,,
C003393,2025-09-30 08:04:21,profile_fill,D7134608102F9,39.144.188,广州市,填写申请资料，耗时448秒,,
C003393,2025-09-30 08:05:21,apply,D7134608102F9,39.144.188,广州市,提交贷款申请 loan_amount=192153,,
C003393,2025-09-30 11:04:21,approve,D7134608102F9,39.144.188,广州市,审批通过,,
C003393,2025-10-02 08:04:21,disburse,D7134608102F9,39.144.188,广州市,放款 192153 元,,
C003393,2025-10-06 08:04:21,cashout,D7134608102F9,39.144.188,广州市,消费/取现 22732 元,,
C003393,2025-11-01 08:04:21,repay,D7134608102F9,39.144.188,广州市,第1期还款 16013 元,,
C003393,2025-12-01 08:04:21,repay,D7134608102F9,39.144.188,广州市,第2期还款 16013 元,,
C003393,2025-12-31 08:04:21,repay,D7134608102F9,39.144.188,广州市,第3期还款 16013 元,,
C003393,2026-01-30 08:04:21,repay,D7134608102F9,39.144.188,广州市,第4期还款 16013 元,,
C003393,2026-03-01 08:04:21,repay,D7134608102F9,39.144.188,广州市,第5期还款 16013 元,,
C003599,2025-08-03 20:25:21,register,DF513CC3A3F79,113.54.121,昆明市,注册账户，设备年龄219天,,
C003599,2025-08-06 21:25:21,login,DF513CC3A3F79,113.54.121,昆明市,登录（第1次）,,
C003599,2025-08-10 03:25:21,login,DF513CC3A3F79,113.54.121,昆明市,登录（第2次）,,
C003599,2025-08-10 04:25:21,browse,DF513CC3A3F79,113.54.121,昆明市,浏览贷款产品页/额度试算,,
C003599,2025-08-10 05:25:21,browse,DF513CC3A3F79,113.54.121,昆明市,浏览贷款产品页/额度试算,,
C003599,2025-08-10 06:25:21,browse,DF513CC3A3F79,113.54.121,昆明市,浏览贷款产品页/额度试算,,
C003599,2025-08-10 09:25:21,browse,DF513CC3A3F79,113.54.121,昆明市,浏览贷款产品页/额度试算,,
C003599,2025-09-16 20:25:21,profile_fill,DF513CC3A3F79,113.54.121,昆明市,填写申请资料，耗时481秒,,
C003599,2025-09-16 20:26:21,apply,DF513CC3A3F79,113.54.121,昆明市,提交贷款申请 loan_amount=16568,,
C003599,2025-09-17 06:25:21,approve,DF513CC3A3F79,113.54.121,昆明市,审批通过,,
C003599,2025-09-18 20:25:21,disburse,DF513CC3A3F79,113.54.121,昆明市,放款 16568 元,,
C003599,2025-09-23 20:25:21,cashout,DF513CC3A3F79,113.54.121,昆明市,消费/取现 3022 元,,
C003599,2025-10-18 20:25:21,repay,DF513CC3A3F79,113.54.121,昆明市,第1期还款 1381 元,,
C003599,2025-11-17 20:25:21,repay,DF513CC3A3F79,113.54.121,昆明市,第2期还款 1381 元,,
C003599,2025-12-17 20:25:21,repay,DF513CC3A3F79,113.54.121,昆明市,第3期还款 1381 元,,
C003599,2026-01-16 20:25:21,repay,DF513CC3A3F79,113.54.121,昆明市,第4期还款 1381 元,,
C004039,2026-03-17 17:17:21,register,DB5E5416049BE,120.204.23,郑州市,注册账户，设备年龄217天,,
C004039,2026-03-21 22:17:21,login,DB5E5416049BE,120.204.23,郑州市,登录（第1次）,,
C004039,2026-03-24 03:17:21,login,DB5E5416049BE,120.204.23,郑州市,登录（第2次）,,
C004039,2026-03-24 05:17:21,browse,DB5E5416049BE,120.204.23,郑州市,浏览贷款产品页/额度试算,,
C004039,2026-03-24 10:17:21,browse,DB5E5416049BE,120.204.23,郑州市,浏览贷款产品页/额度试算,,
C004039,2026-03-24 14:17:21,browse,DB5E5416049BE,120.204.23,郑州市,浏览贷款产品页/额度试算,,
C004039,2026-04-14 17:17:21,profile_fill,DB5E5416049BE,120.204.23,郑州市,填写申请资料，耗时839秒,,
C004039,2026-04-14 17:18:21,apply,DB5E5416049BE,120.204.23,郑州市,提交贷款申请 loan_amount=9205,,
C004039,2026-04-15 15:17:21,approve,DB5E5416049BE,120.204.23,郑州市,审批通过,,
C004039,2026-04-15 17:17:21,disburse,DB5E5416049BE,120.204.23,郑州市,放款 9205 元,,
C004039,2026-04-16 17:17:21,cashout,DB5E5416049BE,120.204.23,郑州市,消费/取现 1441 元,,
